年份,月份,发电(kWh),用电(kWh),直接自用(kWh),电池放电(kWh),上网(kWh),购电(kWh),自用率(%),购电费($),馈网收入($),净电费($),电池计提($),净成本含电池($),无太阳能电费($),月节省($),贴现因子,贴现后节省($),累计节省($),累计贴现后节省($),回本进度(%),贴现回本进度(%)
14,2,584.89,385.09,181.88,203.21,199.81,0.0,65.8,22.4,11.99,10.41,0.0,10.41,212.84,202.43,0.503,101.83,21486.41,14407.72,138.62,92.95
14,3,564.59,371.72,175.57,196.15,192.87,0.0,65.8,24.8,11.57,13.23,0.0,13.23,208.63,195.4,0.501,97.89,21681.81,14505.61,139.88,93.58
14,4,536.78,353.41,166.92,186.49,183.37,0.0,65.8,24.0,11.0,13.0,0.0,13.0,198.78,185.78,0.4989,92.69,21867.59,14598.3,141.08,94.18
14,5,636.77,419.24,198.01,221.23,217.53,0.0,65.8,24.8,13.05,11.75,0.0,11.75,232.13,220.38,0.4969,109.51,22087.97,14707.81,142.5,94.89
14,6,793.14,522.19,246.64,275.56,270.94,0.0,65.8,24.0,16.26,7.74,0.0,7.74,282.25,274.5,0.4949,135.85,22362.47,14843.66,144.27,95.77
14,7,802.16,528.13,249.44,278.69,274.03,0.0,65.8,24.8,16.44,8.36,0.0,8.36,285.98,277.63,0.4929,136.84,22640.1,14980.5,146.07,96.65
14,8,710.44,467.75,220.92,246.82,242.69,0.0,65.8,24.8,14.56,10.24,0.0,10.24,256.12,245.88,0.4909,120.7,22885.98,15101.2,147.65,97.43
14,9,553.32,364.3,172.06,192.24,189.02,0.0,65.8,24.0,11.34,12.66,0.0,12.66,204.16,191.5,0.4889,93.63,23077.48,15194.83,148.89,98.03
14,10,542.04,356.87,168.56,188.32,185.17,0.0,65.8,24.8,11.11,13.69,0.0,13.69,201.29,187.6,0.4869,91.35,23265.08,15286.18,150.1,98.62
14,11,548.81,361.33,170.66,190.67,187.48,0.0,65.8,24.0,11.25,12.75,0.0,12.75,202.69,189.94,0.4849,92.11,23455.02,15378.29,151.32,99.21
14,12,603.69,397.46,187.73,209.74,206.23,0.0,65.8,24.8,12.37,12.43,0.0,12.43,221.36,208.93,0.483,100.91,23663.95,15479.2,152.67,99.87
15,1,640.21,423.2,199.7,223.5,217.01,0.0,66.1,24.8,13.02,11.78,0.0,11.78,239.32,227.54,0.481,109.45,23891.49,15588.65,154.14,100.57
15,2,582.55,385.09,181.72,203.37,197.47,0.0,66.1,22.4,11.85,10.55,0.0,10.55,217.6,207.05,0.4791,99.19,24098.54,15687.84,155.47,101.21
15,3,562.34,371.72,175.41,196.31,190.61,0.0,66.1,24.8,11.44,13.36,0.0,13.36,213.23,199.86,0.4771,95.36,24298.4,15783.2,156.76,101.83
15,4,534.63,353.41,166.77,186.64,181.22,0.0,66.1,24.0,10.87,13.13,0.0,13.13,203.14,190.02,0.4752,90.29,24488.42,15873.49,157.99,102.41
15,5,634.22,419.24,197.83,221.41,214.98,0.0,66.1,24.8,12.9,11.9,0.0,11.9,237.31,225.41,0.4733,106.68,24713.83,15980.17,159.44,103.1
15,6,789.97,522.19,246.41,275.78,267.77,0.0,66.1,24.0,16.07,7.93,0.0,7.93,288.7,280.77,0.4713,132.34,24994.6,16112.51,161.26,103.95
15,7,798.95,528.13,249.22,278.92,270.82,0.0,66.1,24.8,16.25,8.55,0.0,8.55,292.51,283.96,0.4694,133.3,25278.56,16245.81,163.09,104.81
15,8,707.6,467.75,220.72,247.03,239.85,0.0,66.1,24.8,14.39,10.41,0.0,10.41,261.9,251.49,0.4675,117.58,25530.05,16363.39,164.71,105.57
15,9,551.1,364.3,171.91,192.39,186.81,0.0,66.1,24.0,11.21,12.79,0.0,12.79,208.66,195.87,0.4656,91.2,25725.92,16454.59,165.97,106.16
15,10,539.87,356.87,168.4,188.47,183.0,0.0,66.1,24.8,10.98,13.82,0.0,13.82,205.7,191.88,0.4637,88.98,25917.8,16543.57,167.21,106.73
15,11,546.61,361.33,170.5,190.82,185.28,0.0,66.1,24.0,11.12,12.88,0.0,12.88,207.16,194.28,0.4619,89.73,26112.08,16633.3,168.47,107.31
15,12,601.27,397.46,187.55,209.91,203.81,0.0,66.1,24.8,12.23,12.57,0.0,12.57,226.27,213.7,0.46,98.3,26325.78,16731.6,169.84,107.95
16,1,637.65,423.2,199.52,223.68,214.45,0.0,66.4,24.8,12.87,11.93,0.0,11.93,244.68,232.75,0.4581,106.63,26558.53,16838.23,171.35,108.63
16,2,580.22,385.09,181.55,203.54,195.14,0.0,66.4,22.4,11.71,10.69,0.0,10.69,222.48,211.79,0.4563,96.63,26770.32,16934.86,172.71,109.26
16,3,560.09,371.72,175.25,196.47,188.36,0.0,66.4,24.8,11.3,13.5,0.0,13.5,217.94,204.44,0.4544,92.9,26974.76,17027.76,174.03,109.86
16,4,532.49,353.41,166.62,186.79,179.08,0.0,66.4,24.0,10.75,13.25,0.0,13.25,207.62,194.37,0.4526,87.96,27169.13,17115.72,175.28,110.42
16,5,631.68,419.24,197.65,221.59,212.44,0.0,66.4,24.8,12.75,12.05,0.0,12.05,242.63,230.57,0.4507,103.92,27399.7,17219.64,176.77,111.09
16,6,786.81,522.19,246.19,276.0,264.61,0.0,66.4,24.0,15.88,8.12,0.0,8.12,295.32,287.2,0.4489,128.92,27686.9,17348.56,178.63,111.93
16,7,795.76,528.13,248.99,279.14,267.62,0.0,66.4,24.8,16.06,8.74,0.0,8.74,299.21,290.46,0.4471,129.86,27977.36,17478.42,180.5,112.76
16,8,704.77,467.75,220.52,247.23,237.02,0.0,66.4,24.8,14.22,10.58,0.0,10.58,267.83,257.25,0.4453,114.54,28234.61,17592.96,182.16,113.5
16,9,548.9,364.3,171.75,192.55,184.6,0.0,66.4,24.0,11.08,12.92,0.0,12.92,213.28,200.36,0.4435,88.85,28434.97,17681.81,183.45,114.08
16,10,537.71,356.87,168.25,188.62,180.84,0.0,66.4,24.8,10.85,13.95,0.0,13.95,210.22,196.27,0.4417,86.68,28631.24,17768.49,184.72,114.64
16,11,544.43,361.33,170.35,190.98,183.1,0.0,66.4,24.0,10.99,13.01,0.0,13.01,211.74,198.72,0.4399,87.41,28829.96,17855.9,186.0,115.2
16,12,598.87,397.46,187.38,210.08,201.41,0.0,66.4,24.8,12.08,12.72,0.0,12.72,231.31,218.6,0.4381,95.76,29048.56,17951.66,187.41,115.82
17,1,635.1,423.2,199.34,223.86,211.9,0.0,66.6,24.8,12.71,12.09,0.0,12.09,250.18,238.1,0.4363,103.88,29286.66,18055.54,188.95,116.49
17,2,577.9,385.09,181.39,203.7,192.82,0.0,66.6,22.4,11.57,10.83,0.0,10.83,227.48,216.65,0.4345,94.14,29503.31,18149.68,190.34,117.09
17,3,557.85,371.72,175.09,196.63,186.12,0.0,66.6,24.8,11.17,13.63,0.0,13.63,222.77,209.13,0.4328,90.51,29712.44,18240.19,191.69,117.68
17,4,530.36,353.41,166.46,186.94,176.95,0.0,66.6,24.0,10.62,13.38,0.0,13.38,212.21,198.83,0.431,85.7,29911.27,18325.89,192.98,118.23
17,5,629.16,419.24,197.47,221.77,209.92,0.0,66.6,24.8,12.59,12.21,0.0,12.21,248.07,235.87,0.4293,101.25,30147.14,18427.14,194.5,118.88
17,6,783.66,522.19,245.97,276.23,261.47,0.0,66.6,24.0,15.69,8.31,0.0,8.31,302.1,293.79,0.4275,125.6,30440.93,18552.74,196.39,119.7
17,7,792.57,528.13,248.76,279.37,264.44,0.0,66.6,24.8,15.87,8.93,0.0,8.93,306.07,297.13,0.4258,126.51,30738.06,18679.25,198.31,120.51
17,8,701.95,467.75,220.32,247.43,234.2,0.0,66.6,24.8,14.05,10.75,0.0,10.75,273.91,263.16,0.4241,111.59,31001.22,18790.84,200.01,121.23
17,9,546.7,364.3,171.59,192.7,182.41,0.0,66.6,24.0,10.94,13.06,0.0,13.06,218.01,204.96,0.4223,86.56,31206.18,18877.4,201.33,121.79
17,10,535.56,356.87,168.1,188.78,178.69,0.0,66.6,24.8,10.72,14.08,0.0,14.08,214.86,200.78,0.4206,84.45,31406.96,18961.85,202.63,122.33
17,11,542.25,361.33,170.19,191.13,180.92,0.0,66.6,24.0,10.86,13.14,0.0,13.14,216.43,203.29,0.4189,85.16,31610.25,19047.01,203.94,122.88
17,12,596.47,397.46,187.21,210.25,199.01,0.0,66.6,24.8,11.94,12.86,0.0,12.86,236.47,223.62,0.4172,93.3,31833.87,19140.31,205.38,123.49
18,1,632.56,423.2,199.16,224.04,209.36,0.0,66.9,24.8,12.56,12.24,0.0,12.24,255.82,243.58,0.4155,101.21,32077.45,19241.52,206.95,124.14
18,2,575.59,385.09,181.22,203.87,190.5,0.0,66.9,22.4,11.43,10.97,0.0,10.97,232.61,221.64,0.4138,91.72,32299.09,19333.24,208.38,124.73
18,3,555.61,371.72,174.93,196.79,183.89,0.0,66.9,24.8,11.03,13.77,0.0,13.77,227.72,213.95,0.4122,88.18,32513.04,19421.42,209.76,125.3
18,4,528.24,353.41,166.31,187.09,174.83,0.0,66.9,24.0,10.49,13.51,0.0,13.51,216.92,203.41,0.4105,83.5,32716.45,19504.92,211.07,125.84
18,5,626.64,419.24,197.29,221.95,207.4,0.0,66.9,24.8,12.44,12.36,0.0,12.36,253.65,241.3,0.4088,98.65,32957.75,19603.57,212.63,126.47
18,6,780.52,522.19,245.74,276.45,258.33,0.0,66.9,24.0,15.5,8.5,0.0,8.5,309.06,300.56,0.4072,122.37,33258.31,19725.94,214.57,127.26
18,7,789.4,528.13,248.54,279.59,261.27,0.0,66.9,24.8,15.68,9.12,0.0,9.12,313.1,303.97,0.4055,123.26,33562.28,19849.2,216.53,128.06
18,8,699.14,467.75,220.12,247.63,231.4,0.0,66.9,24.8,13.88,10.92,0.0,10.92,280.13,269.22,0.4039,108.73,33831.5,19957.93,218.27,128.76
18,9,544.52,364.3,171.44,192.86,180.22,0.0,66.9,24.0,10.81,13.19,0.0,13.19,222.86,209.68,0.4022,84.34,34041.18,20042.27,219.62,129.3
18,10,533.42,356.87,167.94,188.93,176.55,0.0,66.9,24.8,10.59,14.21,0.0,14.21,219.61,205.4,0.4006,82.28,34246.58,20124.55,220.95,129.84
18,11,540.08,361.33,170.04,191.29,178.75,0.0,66.9,24.0,10.73,13.27,0.0,13.27,221.24,207.97,0.399,82.97,34454.55,20207.52,222.29,130.37
18,12,594.09,397.46,187.04,210.42,196.63,0.0,66.9,24.8,11.8,13.0,0.0,13.0,241.77,228.76,0.3973,90.9,34683.31,20298.42,223.76,130.96
19,1,630.03,423.2,198.98,224.22,206.83,0.0,67.2,24.8,12.41,12.39,0.0,12.39,261.59,249.2,0.3957,98.62,34932.51,20397.04,225.37,131.59
19,2,573.29,385.09,181.06,204.03,188.2,0.0,67.2,22.4,11.29,11.11,0.0,11.11,237.87,226.76,0.3941,89.37,35159.27,20486.41,226.83,132.17
19,3,553.39,371.72,174.77,196.95,181.67,0.0,67.2,24.8,10.9,13.9,0.0,13.9,232.79,218.89,0.3925,85.92,35378.16,20572.33,228.25,132.72
19,4,526.13,353.41,166.16,187.24,172.72,0.0,67.2,24.0,10.36,13.64,0.0,13.64,221.74,208.11,0.3909,81.36,35586.27,20653.69,229.59,133.25
19,5,624.13,419.24,197.12,222.12,204.89,0.0,67.2,24.8,12.29,12.51,0.0,12.51,259.38,246.87,0.3894,96.12,35833.14,20749.81,231.18,133.87
19,6,777.4,522.19,245.52,276.67,255.21,0.0,67.2,24.0,15.31,8.69,0.0,8.69,316.18,307.49,0.3878,119.24,36140.63,20869.05,233.17,134.64
19,7,786.24,528.13,248.32,279.82,258.11,0.0,67.2,24.8,15.49,9.31,0.0,9.31,320.31,310.99,0.3862,120.1,36451.62,20989.15,235.17,135.41
19,8,696.35,467.75,219.92,247.82,228.6,0.0,67.2,24.8,13.72,11.08,0.0,11.08,286.52,275.43,0.3846,105.94,36727.05,21095.09,236.95,136.1
19,9,542.34,364.3,171.28,193.01,178.04,0.0,67.2,24.0,10.68,13.32,0.0,13.32,227.83,214.52,0.3831,82.17,36941.57,21177.26,238.33,136.63
19,10,531.29,356.87,167.79,189.08,174.41,0.0,67.2,24.8,10.46,14.34,0.0,14.34,224.48,210.15,0.3815,80.17,37151.72,21257.43,239.69,137.14
19,11,537.92,361.33,169.89,191.44,176.59,0.0,67.2,24.0,10.6,13.4,0.0,13.4,226.17,212.77,0.38,80.84,37364.49,21338.27,241.06,137.67
19,12,591.71,397.46,186.88,210.58,194.25,0.0,67.2,24.8,11.65,13.15,0.0,13.15,247.19,234.05,0.3784,88.57,37598.54,21426.84,242.57,138.24
20,1,627.51,423.2,198.8,224.4,204.31,0.0,67.4,24.8,12.26,12.54,0.0,12.54,267.51,254.97,0.3769,96.1,37853.51,21522.94,244.22,138.86
20,2,570.99,385.09,180.9,204.19,185.91,0.0,67.4,22.4,11.15,11.25,0.0,11.25,243.25,232.01,0.3754,87.09,38085.52,21610.03,245.71,139.42
20,3,551.18,371.72,174.62,197.1,179.46,0.0,67.4,24.8,10.77,14.03,0.0,14.03,237.99,223.96,0.3738,83.72,38309.48,21693.75,247.16,139.96
20,4,524.02,353.41,166.01,187.39,170.61,0.0,67.4,24.0,10.24,13.76,0.0,13.76,226.69,212.92,0.3723,79.28,38522.4,21773.03,248.53,140.47
20,5,621.64,419.24,196.94,222.3,202.4,0.0,67.4,24.8,12.14,12.66,0.0,12.66,265.24,252.58,0.3708,93.66,38774.98,21866.69,250.16,141.08
20,6,774.29,522.19,245.3,276.89,252.1,0.0,67.4,24.0,15.13,8.87,0.0,8.87,323.49,314.61,0.3693,116.19,39089.59,21982.88,252.19,141.83
20,7,783.1,528.13,248.09,280.04,254.97,0.0,67.4,24.8,15.3,9.5,0.0,9.5,327.69,318.19,0.3678,117.03,39407.78,22099.91,254.24,142.58
20,8,693.56,467.75,219.73,248.02,225.81,0.0,67.4,24.8,13.55,11.25,0.0,11.25,293.06,281.81,0.3663,103.23,39689.59,22203.14,256.06,143.25
20,9,540.17,364.3,171.13,193.17,175.87,0.0,67.4,24.0,10.55,13.45,0.0,13.45,232.93,219.48,0.3648,80.07,39909.07,22283.21,257.48,143.76
20,10,529.16,356.87,167.64,189.23,172.29,0.0,67.4,24.8,10.34,14.46,0.0,14.46,229.47,215.01,0.3633,78.12,40124.08,22361.33,258.87,144.27
20,11,535.77,361.33,169.73,191.59,174.44,0.0,67.4,24.0,10.47,13.53,0.0,13.53,231.23,217.69,0.3619,78.78,40341.77,22440.11,260.27,144.77
20,12,589.34,397.46,186.71,210.75,191.88,0.0,67.4,24.8,11.51,13.29,0.0,13.29,252.75,239.46,0.3604,86.3,40581.23,22526.41,261.81,145.33
