roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,pre_tax_cost,with_tax_cost,subsidy,final_cost,payback_years,payback_months,discounted_payback_years,discounted_payback_months,avg_annual_savings_10y,irr,total_20y_savings
91,81,35.64,19.5,50.32,45.29,54386.64,61731.2,67904.31999999999,27944.548319999998,39959.77167999999,7.474145062137016,89.68974074564419,7.8146780953909,93.77613714469081,5651.5545772868,14.103345298644854,144946.80212047065
92,82,36.08,19.5,50.32,45.29,55058.079999999994,61946.36,68140.996,28086.83904,40054.15696,7.419321403470735,89.03185684164882,7.77059706468448,93.24716477621376,5707.7437764553815,14.211823513323907,146305.4525406658
93,83,36.52,19.5,50.32,45.29,55729.520000000004,62161.520000000004,68377.672,28229.12976,40148.54224000001,7.371898441163247,88.46278129395897,7.726031819658576,92.71238183590292,5763.932975623966,14.319553863606416,147664.10296086082
94,84,36.96,19.5,50.32,45.29,56400.96,62376.67999999999,68614.348,28371.42048,40242.92752,7.326135479069993,87.91362574883992,7.681128347300148,92.17354016760177,5820.122174792547,14.426546979666455,149022.75338105604
95,85,37.4,19.5,50.32,45.29,57072.4,62591.84,68851.02399999999,28513.711199999998,40337.31279999999,7.283375365357663,87.40050438429195,7.635239361167241,91.6228723340069,5876.311373961131,14.532813237019582,150381.40380125123
96,86,37.84,19.5,50.32,45.29,57743.840000000004,62807.0,69087.7,28656.00192,40431.69808,7.240840443788151,86.8900853254578,7.589329340230346,91.07195208276416,5932.500573129712,14.638362764526391,151740.05422144648
97,87,38.28,19.5,50.32,45.29,58415.28,63022.16,69324.376,28798.29264,40526.083360000004,7.196908011550483,86.36289613860579,7.538902681551157,90.46683217861388,5988.689772298294,14.74320545385126,153098.7046416414
98,88,38.72,19.5,50.32,45.29,59086.72,63237.31999999999,69561.052,28940.58336,40620.46863999999,7.150716755380032,85.80860106456039,7.487748100564932,89.85297720677919,6044.8789714668765,14.847350968193496,154457.35506183666
99,89,39.160000000000004,19.5,50.32,45.29,59758.16,63452.479999999996,69797.728,29082.87408,40714.85392,7.098308648995193,85.17970378794232,7.434684034283546,89.21620841140255,6101.068170635461,14.950808747380506,155816.0054820317
100,90,39.6,19.5,50.32,45.29,60429.6,63667.64,70034.404,29225.1648,40809.239199999996,7.049388837188438,84.59266604626126,7.386825476314848,88.64190571577818,6157.257369804041,15.05358801514376,157174.65590222692
