roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
34,30,13.2,9.3,28.04,25.24,20143.2,20319.882400000002,20276.278400000003,-43.60399999999936,-0.21458785607932138,7.709732874370971,7.697688562781701,-0.012044311589270329,8.09674025978812,8.078310172614705,-0.018430087173415544,2785.905419689103,2785.905419689103,0.0,14.004663385276217,14.035470018279739,0.03080663300352171,75655.63069051834,75655.63069051834,0.0
35,31,13.64,9.3,28.04,25.24,20814.64,20386.371679999997,20375.98768,-10.383999999998196,-0.05093598882132319,7.611913321699113,7.608909931397291,-0.003003390301821618,7.951996431386231,7.947163946563797,-0.0048324848224341466,2842.094618857686,2842.094618857686,0.0,14.23185286403168,14.239232640829869,0.007379776798188686,77014.2811107135,77014.2811107135,0.0
36,32,14.08,9.3,28.04,25.24,21486.08,20452.860959999998,20475.69696,22.83600000000297,0.11165186153987805,7.504748839936403,7.512198459672067,0.007449619735663937,7.834367750012713,7.841503648786279,0.0071358987735665735,2898.2838180262684,2898.2838180262684,0.0,14.456638072442729,14.440314982493874,-0.01632308994885534,78372.93153090862,78372.93153090862,0.0
37,33,14.52,9.3,28.04,25.24,22157.52,20519.350240000003,20575.40624,56.05599999999686,0.2731860382729003,7.3927139805827515,7.4095646345471415,0.016850653964390006,7.742556160095571,7.758291644351164,0.015735484255593235,2954.47301719485,2954.47301719485,0.0,14.679081249050796,14.638786079012789,-0.0402951700380072,79731.58195110378,79731.58195110378,0.0
38,34,14.96,9.3,28.04,25.24,22828.960000000003,20585.83952,20675.11552,89.27599999999802,0.43367675101742953,7.297946458830594,7.322714165136378,0.024767706305784287,7.647949131202893,7.6745178165492804,0.026568685346387788,3010.6622163634324,3010.6622163634324,0.0,14.899241826788057,14.834712017909624,-0.06452980887843296,81090.23237129896,81090.23237129896,0.0
39,35,15.4,9.3,28.04,25.24,23500.4,20652.328800000003,20774.824800000002,122.49599999999919,0.5931340779350712,7.207146689788819,7.24290101237962,0.035754322590801024,7.547262358568232,7.588388180888754,0.041125822320521976,3066.8514155320145,3066.8514155320145,0.0,15.117176600324456,15.028156118933111,-0.08902048139134422,82448.88279149409,82448.88279149409,0.0
40,36,15.84,9.3,28.04,25.24,24171.84,20718.818079999997,20874.534079999998,155.71600000000035,0.7515679678191391,7.103278069373765,7.159417173728656,0.05613910435489089,7.436231484246779,7.492703754733206,0.056472270486427334,3123.040614700597,3123.040614700597,0.0,15.332939884683583,15.21917908830801,-0.11376079637557268,83807.53321168925,83807.53321168925,0.0
41,36,15.84,9.3,28.04,25.24,24171.84,20718.818079999997,20874.534079999998,155.71600000000035,0.7515679678191391,7.103278069373765,7.159417173728656,0.05613910435489089,7.436231484246779,7.492703754733206,0.056472270486427334,3123.040614700597,3123.040614700597,0.0,15.332939884683583,15.21917908830801,-0.11376079637557268,83807.53321168925,83807.53321168925,0.0
42,37,16.28,9.3,28.04,25.24,24843.280000000002,20785.30736,20974.24336,188.9360000000015,0.9089882421637739,6.999709128646583,7.061686302057859,0.06197717341127529,7.337487756601721,7.395916329647592,0.05842857304587046,3179.2298138691795,3179.2298138691795,0.0,15.546583666582592,15.407839181716554,-0.13874448486603796,85166.18363188433,85166.18363188433,0.0
43,38,16.72,9.3,28.04,25.24,25514.719999999998,20851.796639999997,21073.95264,222.15600000000268,1.065404597193514,6.893326166232807,6.967723085440139,0.07439691920733171,7.249972144587879,7.313420625321824,0.06344848073394527,3235.4190130377615,3235.4190130377615,0.0,15.758157733944245,15.594192330900114,-0.16396540304413065,86524.83405207947,86524.83405207947,0.0
44,39,17.16,9.3,28.04,25.24,26186.16,20918.285919999995,21173.66192,255.37600000000384,1.2208266058541564,6.8174971726123195,6.881671786824588,0.06417461421226811,7.158008853017233,7.236457349627674,0.07844849661044062,3291.608212206344,3291.608212206344,0.0,15.967709809774533,15.778292283357587,-0.1894175264169462,87883.4844722746,87883.4844722746,0.0
45,40,17.6,9.3,28.04,25.24,26857.600000000002,20984.775200000004,21273.3712,288.59599999999773,1.375263719765736,6.750431162958427,6.815951234276735,0.06552007131830795,7.051274420010209,7.155516640270711,0.10424222026050156,3347.797411374926,3347.797411374926,0.0,16.17528566130204,15.960190720215905,-0.2150949410861358,89242.1348924698,89242.1348924698,0.0
46,41,18.04,9.3,28.04,25.24,27529.039999999997,21051.26448,21373.08048,321.8159999999989,1.5287252711386716,6.681472300305991,6.757401256800358,0.0759289564943666,6.944888308453989,7.061881211211851,0.116992902757862,3403.986610543508,3403.986610543508,0.0,16.380929219303653,16.139937365369406,-0.24099185393424705,90600.78531266493,90600.78531266493,0.0
47,42,18.48,9.3,28.04,25.24,28200.48,21117.75376,21472.78976,355.03600000000006,1.6812204746533614,6.611226889501096,6.697612135066794,0.08638524556569749,6.858871178725525,6.972185721594841,0.11331454286931653,3460.17580971209,3460.17580971209,0.0,16.584682669781614,16.317580093163997,-0.26710257661761716,91959.43573286002,91959.43573286002,0.0
48,43,18.92,9.3,28.04,25.24,28871.920000000002,21184.24304,21572.499040000002,388.2560000000012,1.832758429304733,6.536208874978468,6.637423377825495,0.10121450284702771,6.789402272816819,6.88747742856253,0.09807515574571113,3516.365008880674,3516.365008880674,0.0,16.786586557282135,16.493165024439804,-0.29342153284233063,93318.08615305524,93318.08615305524,0.0
49,44,19.36,9.3,28.04,25.24,29543.36,21250.732319999996,21672.208319999998,421.4760000000024,1.9833481202119931,6.456323385129861,6.576196736741747,0.11987335161188639,6.723204083320489,6.823296389630747,0.10009230631025812,3572.554208049256,3572.554208049256,0.0,16.986679866386112,16.666736621118616,-0.3199432452674955,94676.73657325032,94676.73657325032,0.0
