roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
33,29,12.76,9.3,28.04,31299.84,30845.14,40800.0,-454.7000000000007,-1.4527230810125569,9954.86,32.273674231985986,14176.43088,20253.39312,19753.223120000002,30703.56912
34,30,13.2,9.3,28.04,31489.64,31062.5,41240.0,-427.1399999999994,-1.3564461200572615,10177.5,32.76458752515091,14318.721599999999,20319.882400000002,19850.028400000003,31045.278400000003
35,31,13.64,9.3,28.04,31679.44,31279.86,41680.0,-399.5799999999981,-1.2613228011606206,10400.14,33.248678222984374,14461.01232,20386.371679999997,19946.833679999996,31386.98768
36,32,14.08,9.3,28.04,31869.239999999998,31497.22,42120.0,-372.0199999999968,-1.1673325124791079,10622.779999999999,33.72608757217303,14603.303039999999,20452.860959999998,20043.638960000004,31728.69696
37,33,14.52,9.3,28.04,32059.04,31714.579999999998,42560.0,-344.46000000000276,-1.0744551302846335,10845.420000000002,34.19695294719338,14745.59376,20519.350240000003,20140.44424,32070.40624
38,34,14.96,9.3,28.04,32248.84,31931.94,43000.0,-316.90000000000146,-0.9826710046004802,11068.060000000001,34.66140798210194,14887.88448,20585.83952,20237.249519999998,32412.11552
39,35,15.4,9.3,28.04,32438.64,32149.3,43440.0,-289.34000000000015,-0.8919609453417287,11290.7,35.11958269697941,15030.1752,20652.328800000003,20334.054799999998,32753.824800000002
40,36,15.84,9.3,28.04,32628.44,32366.66,43880.0,-261.77999999999884,-0.8023062089391918,11513.34,35.57160361927984,15172.46592,20718.818079999997,20430.86008,33095.53408
41,36,15.84,9.3,28.04,32628.44,32366.66,43880.0,-261.77999999999884,-0.8023062089391918,11513.34,35.57160361927984,15172.46592,20718.818079999997,20430.86008,33095.53408
42,37,16.28,9.3,28.04,32818.24,32584.02,44320.0,-234.21999999999753,-0.7136884854276083,11735.98,36.01759390032292,15314.75664,20785.30736,20527.66536,33437.24336
43,38,16.72,9.3,28.04,33008.04,32801.38,44760.0,-206.6600000000035,-0.6260898859793053,11958.620000000003,36.4576734271546,15457.04736,20851.796639999997,20624.470639999996,33778.95264
44,39,17.16,9.3,28.04,33197.84,33018.74,45200.0,-179.09999999999854,-0.5394929308653772,12181.260000000002,36.891958929989464,15599.33808,20918.285919999995,20721.27592,34120.66192
45,40,17.6,9.3,28.04,33387.64,33236.1,45640.0,-151.54000000000087,-0.45388053782777366,12403.900000000001,37.320564085437226,15741.6288,20984.775200000004,20818.0812,34462.3712
46,41,18.04,9.3,28.04,33577.44,33453.46,46080.0,-123.9800000000032,-0.36923601084538665,12626.54,37.74359961570492,15883.91952,21051.26448,20914.886479999997,34804.080480000004
47,42,18.48,9.3,28.04,33767.24,33670.82,46520.0,-96.41999999999825,-0.2855430292792608,12849.18,38.16117338395679,16026.21024,21117.75376,21011.69176,35145.78976
