scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,inverter_kw,battery_kwh,pre_tax_total,total_with_tax,subsidy,final_price
极低参数,50,50,100,新建系统,VIC,28,11.0,9.99,29.33,3982.5,4380.75,15912.268,-11531.518
极低参数,50,50,100,新建系统,VIC,29,11.44,9.99,29.33,4004.5,4404.95,16054.558719999999,-11649.60872
极低参数,50,50,100,新建系统,VIC,30,11.88,9.99,29.33,4026.5,4429.15,16196.84944,-11767.69944
极低参数,50,50,100,新建系统,VIC,31,11.88,9.99,29.33,4026.5,4429.15,16196.84944,-11767.69944
极低参数,50,50,100,新建系统,VIC,32,12.32,9.3,28.04,3885.0,4273.5,15910.140159999999,-11636.640159999999
极低参数,50,50,100,新建系统,VIC,33,12.76,9.3,28.04,3907.0,4297.7,16052.43088,-11754.73088
极低参数,50,50,100,新建系统,VIC,34,13.2,9.3,28.04,3929.0,4321.9,16194.721599999999,-11872.8216
极低参数,50,50,100,新建系统,VIC,35,13.64,9.3,28.04,3951.0,4346.1,16337.01232,-11990.91232
极低参数,50,50,100,新建系统,VIC,36,14.08,9.3,28.04,3973.0,4370.3,16479.30304,-12109.00304
极低参数,50,50,100,新建系统,VIC,37,14.52,9.3,28.04,3995.0,4394.5,16621.59376,-12227.09376
极低参数,50,50,100,新建系统,VIC,38,14.96,9.3,28.04,4017.0,4418.7,16763.88448,-12345.18448
极低参数,50,50,100,新建系统,VIC,39,15.4,9.3,28.04,4039.0,4442.9,16906.175199999998,-12463.275199999998
极低参数,50,50,100,新建系统,VIC,40,15.84,9.3,28.04,4061.0,4467.1,17048.465920000002,-12581.365920000002
极低参数,50,50,100,新建系统,VIC,41,15.84,9.3,28.04,4061.0,4467.1,17048.465920000002,-12581.365920000002
极低参数,50,50,100,新建系统,VIC,42,16.28,9.3,28.04,4083.0,4491.3,17190.75664,-12699.45664
极低参数,50,50,100,新建系统,VIC,43,16.72,9.3,28.04,4105.0,4515.5,17333.04736,-12817.54736
极低参数,50,50,100,新建系统,VIC,44,17.16,9.3,28.04,4127.0,4539.7,17475.33808,-12935.63808
极低参数,50,50,100,新建系统,VIC,45,17.6,9.3,28.04,4149.0,4563.9,17617.6288,-13053.728799999999
极低参数,50,50,100,新建系统,VIC,46,18.04,9.3,28.04,4171.0,4588.1,17759.91952,-13171.81952
极低参数,50,50,100,新建系统,VIC,47,18.48,9.3,28.04,4193.0,4612.3,17902.21024,-13289.910240000001
极低参数,50,50,100,新建系统,VIC,48,18.92,9.3,28.04,4215.0,4636.5,18044.500959999998,-13408.000959999998
极低参数,50,50,100,新建系统,VIC,49,19.36,9.3,28.04,4237.0,4660.7,18186.791680000002,-13526.091680000001
极低参数,50,50,100,新建系统,VIC,50,19.8,9.3,28.04,4259.0,4684.9,18329.0824,-13644.1824
极低参数,50,50,100,新建系统,VIC,51,19.8,9.3,28.04,4259.0,4684.9,18329.0824,-13644.1824
极低参数,50,50,100,新建系统,VIC,52,20.24,19.5,50.32,7019.0,7720.9,25764.37312,-18043.473120000002
极低参数,50,50,100,新建系统,VIC,53,20.68,19.5,50.32,7041.0,7745.1,25906.66384,-18161.563840000003
极低参数,50,50,100,新建系统,VIC,54,21.12,19.5,50.32,7063.0,7769.3,26048.95456,-18279.65456
极低参数,50,50,100,新建系统,VIC,55,21.56,19.5,50.32,7085.0,7793.5,26191.24528,-18397.74528
极低参数,50,50,100,新建系统,VIC,56,22.0,19.5,50.32,7107.0,7817.7,26333.536,-18515.836
极低参数,50,50,100,新建系统,VIC,57,22.44,19.5,50.32,7129.0,7841.9,26475.82672,-18633.926720000003
极低参数,50,50,100,新建系统,VIC,58,22.88,19.5,50.32,7151.0,7866.1,26618.117439999998,-18752.017439999996
极低参数,50,50,100,新建系统,VIC,59,23.32,19.5,50.32,7173.0,7890.3,26760.40816,-18870.10816
极低参数,50,50,100,新建系统,VIC,60,23.76,19.5,50.32,7195.0,7914.5,26902.69888,-18988.19888
极低参数,50,50,100,新建系统,VIC,61,23.76,19.5,50.32,7195.0,7914.5,26902.69888,-18988.19888
极低参数,50,50,100,新建系统,VIC,62,24.2,19.5,50.32,7217.0,7938.7,27044.989599999997,-19106.289599999996
极低参数,50,50,100,新建系统,VIC,63,24.64,19.5,50.32,7239.0,7962.9,27187.280319999998,-19224.380319999997
极低参数,50,50,100,新建系统,VIC,64,25.080000000000002,19.5,50.32,7261.0,7987.1,27329.57104,-19342.471039999997
极低参数,50,50,100,新建系统,VIC,65,25.52,19.5,50.32,7283.0,8011.3,27471.86176,-19460.56176
极低参数,50,50,100,新建系统,VIC,66,25.96,19.5,50.32,7305.0,8035.5,27614.152479999997,-19578.652479999997
极低参数,50,50,100,新建系统,VIC,67,26.4,19.5,50.32,7327.0,8059.7,27756.443199999998,-19696.743199999997
极低参数,50,50,100,新建系统,VIC,68,26.84,19.5,50.32,7349.0,8083.9,27898.73392,-19814.833919999997
极低参数,50,50,100,新建系统,VIC,69,27.28,19.5,50.32,7371.0,8108.1,28041.02464,-19932.924639999997
极低参数,50,50,100,新建系统,VIC,70,27.72,19.5,50.32,7393.0,8132.3,28183.31536,-20051.01536
极低参数,50,50,100,新建系统,VIC,71,27.72,19.5,50.32,7393.0,8132.3,28183.31536,-20051.01536
极低参数,50,50,100,新建系统,VIC,72,28.16,19.5,50.32,7415.0,8156.5,28325.606079999998,-20169.106079999998
极低参数,50,50,100,新建系统,VIC,73,28.6,19.5,50.32,7437.0,8180.7,28467.896800000002,-20287.1968
极低参数,50,50,100,新建系统,VIC,74,29.04,19.5,50.32,7459.0,8204.9,28610.18752,-20405.287519999998
极低参数,50,50,100,新建系统,VIC,75,29.48,19.5,50.32,7481.0,8229.1,28752.47824,-20523.37824
极低参数,50,50,100,新建系统,VIC,76,29.92,19.5,50.32,7503.0,8253.3,28894.76896,-20641.468960000002
极低参数,50,50,100,新建系统,VIC,77,30.36,19.5,50.32,7525.0,8277.5,29037.05968,-20759.55968
极低参数,50,50,100,新建系统,VIC,78,30.8,19.5,50.32,7547.0,8301.7,29179.3504,-20877.6504
极低参数,50,50,100,新建系统,VIC,79,31.24,19.5,50.32,7569.0,8325.9,29321.64112,-20995.74112
极低参数,50,50,100,新建系统,VIC,80,31.68,19.5,50.32,7591.0,8350.1,29463.93184,-21113.83184
极低参数,50,50,100,新建系统,VIC,81,31.68,19.5,50.32,7591.0,8350.1,29463.93184,-21113.83184
极低参数,50,50,100,新建系统,VIC,82,32.12,19.5,50.32,7613.0,8374.3,29606.22256,-21231.92256
极低参数,50,50,100,新建系统,VIC,83,32.56,19.5,50.32,7635.0,8398.5,29748.51328,-21350.01328
极低参数,50,50,100,新建系统,VIC,84,33.0,19.5,50.32,7657.0,8422.7,29890.803999999996,-21468.103999999996
极低参数,50,50,100,新建系统,VIC,85,33.44,19.5,50.32,7679.0,8446.9,30033.09472,-21586.19472
极低参数,50,50,100,新建系统,VIC,86,33.88,19.5,50.32,7701.0,8471.1,30175.38544,-21704.28544
极低参数,50,50,100,新建系统,VIC,87,34.32,19.5,50.32,7723.0,8495.3,30317.67616,-21822.37616
极低参数,50,50,100,新建系统,VIC,88,34.76,19.5,50.32,7745.0,8519.5,30459.96688,-21940.46688
极低参数,50,50,100,新建系统,VIC,89,35.2,19.5,50.32,7767.0,8543.7,30602.2576,-22058.5576
极低参数,50,50,100,新建系统,VIC,90,35.64,19.5,50.32,7789.0,8567.9,30744.548319999998,-22176.64832
极低参数,50,50,100,新建系统,VIC,91,35.64,19.5,50.32,7789.0,8567.9,30744.548319999998,-22176.64832
极低参数,50,50,100,新建系统,VIC,92,36.08,19.5,50.32,7811.0,8592.1,30886.83904,-22294.73904
极低参数,50,50,100,新建系统,VIC,93,36.52,19.5,50.32,7833.0,8616.3,31029.12976,-22412.82976
极低参数,50,50,100,新建系统,VIC,94,36.96,19.5,50.32,7855.0,8640.5,31171.42048,-22530.92048
极低参数,50,50,100,新建系统,VIC,95,37.4,19.5,50.32,7877.0,8664.7,31313.711199999998,-22649.011199999997
极低参数,50,50,100,新建系统,VIC,96,37.84,19.5,50.32,7899.0,8688.9,31456.00192,-22767.10192
极低参数,50,50,100,新建系统,VIC,97,38.28,19.5,50.32,7921.0,8713.1,31598.29264,-22885.19264
极低参数,50,50,100,新建系统,VIC,98,38.72,19.5,50.32,7943.0,8737.3,31740.58336,-23003.28336
极低参数,50,50,100,新建系统,VIC,99,39.160000000000004,19.5,50.32,7965.0,8761.5,31882.87408,-23121.37408
极低参数,50,50,100,新建系统,VIC,100,39.6,19.5,50.32,7987.0,8785.7,32025.1648,-23239.464799999998
极低参数,50,50,100,新建系统,QLD,1,0.0,19.5,50.32,6007.0,6607.7,16419.0,-9811.3
极低参数,50,50,100,新建系统,QLD,2,0.44,8,22.44,2666.0,2932.6,7435.29072,-4502.6907200000005
极低参数,50,50,100,新建系统,QLD,3,0.88,8,22.44,2688.0,2956.8,7577.58144,-4620.78144
极低参数,50,50,100,新建系统,QLD,4,1.32,8,22.44,2710.0,2981.0,7719.87216,-4738.87216
极低参数,50,50,100,新建系统,QLD,5,1.76,8,22.44,2732.0,3005.2,7862.16288,-4856.96288
极低参数,50,50,100,新建系统,QLD,6,2.2,8,22.44,2754.0,3029.4,8004.4536,-4975.053599999999
极低参数,50,50,100,新建系统,QLD,7,2.64,8,22.44,2776.0,3053.6,8146.74432,-5093.144319999999
极低参数,50,50,100,新建系统,QLD,8,3.08,8,22.44,2798.0,3077.8,8289.035039999999,-5211.235039999999
极低参数,50,50,100,新建系统,QLD,9,3.52,8,22.44,2820.0,3102.0,8431.32576,-5329.32576
极低参数,50,50,100,新建系统,QLD,10,3.96,8,22.44,2842.0,3126.2,8573.61648,-5447.416480000001
极低参数,50,50,100,新建系统,QLD,11,3.96,8,22.44,2842.0,3126.2,8573.61648,-5447.416480000001
极低参数,50,50,100,新建系统,QLD,12,4.4,8,22.44,2864.0,3150.4,8715.9072,-5565.5072
极低参数,50,50,100,新建系统,QLD,13,4.84,8,22.44,2886.0,3174.6,8858.19792,-5683.59792
极低参数,50,50,100,新建系统,QLD,14,5.28,9.6,22.22,2966.0,3262.6,8961.48864,-5698.888639999999
极低参数,50,50,100,新建系统,QLD,15,5.72,9.6,22.22,2988.0,3286.8,9103.77936,-5816.97936
极低参数,50,50,100,新建系统,QLD,16,6.16,9.6,22.22,3010.0,3311.0,9246.07008,-5935.0700799999995
极低参数,50,50,100,新建系统,QLD,17,6.6,9.6,22.22,3032.0,3335.2,9388.360799999999,-6053.160799999999
极低参数,50,50,100,新建系统,QLD,18,7.04,9.6,22.22,3054.0,3359.4,9530.65152,-6171.25152
极低参数,50,50,100,新建系统,QLD,19,7.48,9.6,22.22,3076.0,3383.6,9672.94224,-6289.34224
极低参数,50,50,100,新建系统,QLD,20,7.92,9.99,29.33,3828.5,4211.35,12116.232960000001,-7904.882960000001
极低参数,50,50,100,新建系统,QLD,21,7.92,9.99,29.33,3828.5,4211.35,12116.232960000001,-7904.882960000001
极低参数,50,50,100,新建系统,QLD,22,8.36,9.99,29.33,3850.5,4235.55,12258.52368,-8022.97368
极低参数,50,50,100,新建系统,QLD,23,8.8,9.99,29.33,3872.5,4259.75,12400.8144,-8141.064399999999
极低参数,50,50,100,新建系统,QLD,24,9.24,9.99,29.33,3894.5,4283.95,12543.10512,-8259.15512
极低参数,50,50,100,新建系统,QLD,25,9.68,9.99,29.33,3916.5,4308.15,12685.395840000001,-8377.245840000001
极低参数,50,50,100,新建系统,QLD,26,10.12,9.99,29.33,3938.5,4332.35,12827.68656,-8495.33656
极低参数,50,50,100,新建系统,QLD,27,10.56,9.99,29.33,3960.5,4356.55,12969.97728,-8613.42728
极低参数,50,50,100,新建系统,QLD,28,11.0,9.99,29.33,3982.5,4380.75,13112.268,-8731.518
极低参数,50,50,100,新建系统,QLD,29,11.44,9.99,29.33,4004.5,4404.95,13254.558719999999,-8849.60872
极低参数,50,50,100,新建系统,QLD,30,11.88,9.99,29.33,4026.5,4429.15,13396.84944,-8967.69944
极低参数,50,50,100,新建系统,QLD,31,11.88,9.99,29.33,4026.5,4429.15,13396.84944,-8967.69944
极低参数,50,50,100,新建系统,QLD,32,12.32,9.3,28.04,3885.0,4273.5,13110.140159999999,-8836.640159999999
极低参数,50,50,100,新建系统,QLD,33,12.76,9.3,28.04,3907.0,4297.7,13252.43088,-8954.73088
极低参数,50,50,100,新建系统,QLD,34,13.2,9.3,28.04,3929.0,4321.9,13394.721599999999,-9072.8216
极低参数,50,50,100,新建系统,QLD,35,13.64,9.3,28.04,3951.0,4346.1,13537.01232,-9190.91232
极低参数,50,50,100,新建系统,QLD,36,14.08,9.3,28.04,3973.0,4370.3,13679.303039999999,-9309.00304
