房屋ID,州,电网类型,屋顶总容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
34,NSW,single,2.64,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
35,NSW,single,0.0,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
36,NSW,single,7.48,7.48,17,5,149.6,13.5,18828.37,6786.00,12042.37,7.48,17,5,149.6,9.6,15117.52,5538.00,9579.52,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
37,NSW,single,25.52,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
38,NSW,single,3.08,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
39,NSW,single,14.52,14.52,33,10,145.2,21.78,32428.55,11778.00,20650.55,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
40,NSW,single,1.76,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
41,NSW,single,2.2,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
42,NSW,single,18.92,18.92,43,10,189.2,28.380000000000003,41322.05,15327.00,25995.05,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
43,NSW,single,44.88,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
44,NSW,single,20.24,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
45,NSW,single,16.28,16.28,37,10,162.8,24.42,35985.95,13182.00,22803.95,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
46,NSW,single,6.16,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
47,NSW,single,6.16,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
48,NSW,single,12.32,12.32,28,8,154.0,20,28812.08,10491.00,18321.08,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
49,NSW,single,12.76,12.76,29,8,159.5,20,29073.44,10608.00,18465.44,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
50,NSW,single,18.04,18.04,41,10,180.4,27.06,39543.35,14625.00,24918.35,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
51,NSW,single,8.36,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
