房屋ID,州,电网类型,屋顶总容量(kW),容量系数,扩容可用容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
74,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
75,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
76,NSW,single,19.36,70.0%,13.55,19.36,44,10,193.6,29.04,42211.40,15717.00,26494.40,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
77,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
79,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
80,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
81,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
82,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
83,NSW,single,13.64,70.0%,9.55,13.64,31,8,170.5,20.46,30033.85,11076.00,18957.85,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
84,NSW,single,25.52,70.0%,17.86,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
