项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"新建系统","29","A","26","11.44","9.99","26.40","29.33","6177.60","2797.20","25370.45","34345.25","3434.53","37779.78","3699.56","9555.00","0.00","0.00","0.00","13254.56","24525.22","23298.96","25751.48","2.1438","0.7613"
"新建系统","29","B","26","11.44","7.22","15.60","17.33","6177.60","2021.60","14990.45","23189.65","2318.96","25508.61","3699.56","5655.00","0.00","0.00","0.00","9354.56","16154.06","15346.35","16961.76","1.4121","0.5960"
"新建系统","29","C","26","11.44","7.7","10.07","11.19","6177.60","2156.00","9677.60","18011.20","1801.12","19812.32","3699.56","3627.00","0.00","0.00","0.00","7326.56","12485.76","11861.47","13110.05","1.0914","0.5625"
"新建系统","30","A","27","11.88","9.99","26.40","29.33","6415.20","2797.20","25370.45","34582.85","3458.28","38041.13","3841.85","9555.00","0.00","0.00","0.00","13396.85","24644.29","23412.07","25876.50","2.0744","0.7432"
"新建系统","30","B","27","11.88","7.22","15.60","17.33","6415.20","2021.60","14990.45","23427.25","2342.72","25769.97","3841.85","5655.00","0.00","0.00","0.00","9496.85","16273.13","15459.47","17086.78","1.3698","0.5840"
"新建系统","30","C","27","11.88","8","10.46","11.62","6415.20","2240.00","10049.82","18705.02","1870.50","20575.52","3841.85","3783.00","0.00","0.00","0.00","7624.85","12950.67","12303.13","13598.20","1.0901","0.5626"
"新建系统","31","A","27","11.88","9.99","26.40","29.33","6415.20","2797.20","25370.45","34582.85","3458.28","38041.13","3841.85","9555.00","0.00","0.00","0.00","13396.85","24644.29","23412.07","25876.50","2.0744","0.7432"
"新建系统","31","B","27","11.88","7.22","15.60","17.33","6415.20","2021.60","14990.45","23427.25","2342.72","25769.97","3841.85","5655.00","0.00","0.00","0.00","9496.85","16273.13","15459.47","17086.78","1.3698","0.5840"
"新建系统","31","C","27","11.88","8","10.46","11.62","6415.20","2240.00","10049.82","18705.02","1870.50","20575.52","3841.85","3783.00","0.00","0.00","0.00","7624.85","12950.67","12303.13","13598.20","1.0901","0.5626"
"新建系统","32","A","28","12.32","9.3","25.24","28.04","6652.80","2604.00","24254.60","33511.40","3351.14","36862.54","3984.14","9126.00","0.00","0.00","0.00","13110.14","23752.40","22564.78","24940.02","1.9280","0.7000"
"新建系统","32","B","28","12.32","10","20.00","22.22","6652.80","2800.00","19220.30","28673.10","2867.31","31540.41","3984.14","7254.00","0.00","0.00","0.00","11238.14","20302.27","19287.16","21317.38","1.6479","0.6766"
"新建系统","32","C","28","12.32","8.3","10.84","12.05","6652.80","2324.00","10422.03","19398.83","1939.88","21338.71","3984.14","3900.00","0.00","0.00","0.00","7884.14","13454.57","12781.85","14127.30","1.0921","0.5627"
"新建系统","33","A","29","12.76","9.3","25.24","28.04","6890.40","2604.00","24254.60","33749.00","3374.90","37123.90","4126.43","9126.00","0.00","0.00","0.00","13252.43","23871.47","22677.90","25065.04","1.8708","0.6852"
"新建系统","33","B","29","12.76","10","20.00","22.22","6890.40","2800.00","19220.30","28910.70","2891.07","31801.77","4126.43","7254.00","0.00","0.00","0.00","11380.43","20421.34","19400.27","21442.41","1.6004","0.6626"
"新建系统","33","C","29","12.76","8.6","11.23","12.48","6890.40","2408.00","10794.25","20092.65","2009.26","22101.91","4126.43","4056.00","0.00","0.00","0.00","8182.43","13919.48","13223.51","14615.45","1.0909","0.5628"
"新建系统","34","A","30","13.20","9.3","25.24","28.04","7128.00","2604.00","24254.60","33986.60","3398.66","37385.26","4268.72","9126.00","0.00","0.00","0.00","13394.72","23990.54","22791.01","25190.07","1.8175","0.6714"
"新建系统","34","B","30","13.20","10","20.00","22.22","7128.00","2800.00","19220.30","29148.30","2914.83","32063.13","4268.72","7254.00","0.00","0.00","0.00","11522.72","20540.41","19513.39","21567.43","1.5561","0.6496"
"新建系统","34","C","30","13.20","8.8","11.62","12.91","7128.00","2464.00","11166.46","20758.46","2075.85","22834.31","4268.72","4212.00","0.00","0.00","0.00","8480.72","14353.59","13635.91","15071.27","1.0874","0.5605"
"新建系统","35","A","31","13.64","9.3","25.24","28.04","7365.60","2604.00","24254.60","34224.20","3422.42","37646.62","4411.01","9126.00","0.00","0.00","0.00","13537.01","24109.61","22904.13","25315.09","1.7676","0.6584"
"新建系统","35","B","31","13.64","10","20.00","22.22","7365.60","2800.00","19220.30","29385.90","2938.59","32324.49","4411.01","7254.00","0.00","0.00","0.00","11665.01","20659.48","19626.50","21692.45","1.5146","0.6373"
"新建系统","35","C","31","13.64","9.1","12.01","13.34","7365.60","2548.00","11538.68","21452.28","2145.23","23597.51","4411.01","4329.00","0.00","0.00","0.00","8740.01","14857.49","14114.62","15600.37","1.0893","0.5607"
"新建系统","36","A","32","14.08","9.3","25.24","28.04","7603.20","2604.00","24254.60","34461.80","3446.18","37907.98","4553.30","9126.00","0.00","0.00","0.00","13679.30","24228.68","23017.24","25440.11","1.7208","0.6463"
"新建系统","36","B","32","14.08","10","20.00","22.22","7603.20","2800.00","19220.30","29623.50","2962.35","32585.85","4553.30","7254.00","0.00","0.00","0.00","11807.30","20778.55","19739.62","21817.47","1.4757","0.6259"
"新建系统","36","C","32","14.08","9.4","12.39","13.77","7603.20","2632.00","11910.89","22146.09","2214.61","24360.70","4553.30","4485.00","0.00","0.00","0.00","9038.30","15322.40","14556.28","16088.52","1.0882","0.5608"
"新建系统","37","A","33","14.52","9.3","25.24","28.04","7840.80","2604.00","24254.60","34699.40","3469.94","38169.34","4695.59","9126.00","0.00","0.00","0.00","13821.59","24347.75","23130.36","25565.13","1.6768","0.6349"
"新建系统","37","B","33","14.52","10","20.00","22.22","7840.80","2800.00","19220.30","29861.10","2986.11","32847.21","4695.59","7254.00","0.00","0.00","0.00","11949.59","20897.62","19852.74","21942.50","1.4392","0.6151"
"新建系统","37","C","33","14.52","9.7","12.78","14.20","7840.80","2716.00","12283.11","22839.91","2283.99","25123.90","4695.59","4602.00","0.00","0.00","0.00","9297.59","15826.31","15034.99","16617.62","1.0900","0.5610"
"新建系统","38","A","34","14.96","9.3","25.24","28.04","8078.40","2604.00","24254.60","34937.00","3493.70","38430.70","4837.88","9126.00","0.00","0.00","0.00","13963.88","24466.82","23243.47","25690.16","1.6355","0.6242"
"新建系统","38","B","34","14.96","10","20.00","22.22","8078.40","2800.00","19220.30","30098.70","3009.87","33108.57","4837.88","7254.00","0.00","0.00","0.00","12091.88","21016.69","19965.85","22067.52","1.4049","0.6050"
"新建系统","38","C","34","14.96","10","13.17","14.63","8078.40","2800.00","12655.32","23533.72","2353.37","25887.10","4837.88","4758.00","0.00","0.00","0.00","9595.88","16291.21","15476.65","17105.77","1.0890","0.5611"
"新建系统","39","A","35","15.40","9.3","25.24","28.04","8316.00","2604.00","24254.60","35174.60","3517.46","38692.06","4980.18","9126.00","0.00","0.00","0.00","14106.18","24585.88","23356.59","25815.18","1.5965","0.6141"
"新建系统","39","B","35","15.40","10","20.00","22.22","8316.00","2800.00","19220.30","30336.30","3033.63","33369.93","4980.18","7254.00","0.00","0.00","0.00","12234.18","21135.75","20078.97","22192.54","1.3725","0.5954"
