房屋ID,州,电网相位,方案类型,PV容量(数值),PV容量单位,面板数量,逆变器原始功率(数值),逆变器最终功率(数值),逆变器单位,逆变器说明,容配比(数值),容配比单位,电池容量(数值),电池单位,补贴(数值),补贴单位,定价A含税价,定价A最终报价,定价A_kW单价,定价B含税价,定价B最终报价,定价B_kW单价,价格差异(A-B),使用坡面数
95,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
95,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,5
96,QLD,single,高端型,13.64,kW,31,7.5777777777777775,8,kW,"原始推导 7.6kW，按规格向上取整，最终采用 8kW",171,%,20.5,kWh,11544,AUD,30034,18490,1356,26226,14682,1076,3808,3
96,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,3
96,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
97,QLD,single,高端型,7.04,kW,16,3.911111111111111,4,kW,"原始推导 3.9kW，按规格向上取整，最终采用 4kW",176,%,10.6,kWh,5928,AUD,15462,9534,1354,14973,9045,1285,488,2
97,QLD,single,平衡型,7.04,kW,16,3.911111111111111,4,kW,"原始推导 3.9kW，按规格向上取整，最终采用 4kW",176,%,7.0,kWh,4758,AUD,12112,7354,1045,12263,7505,1066,-150,2
97,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
98,QLD,single,高端型,0.44,kW,1,0.24444444444444444,1,kW,"原始推导 0.2kW，按规格向上取整，最终采用 1kW",44,%,9.1,kWh,3120,AUD,9215,6095,13852,8976,5856,13310,239,1
98,QLD,single,平衡型,0.44,kW,1,0.24444444444444444,1,kW,"原始推导 0.2kW，按规格向上取整，最终采用 1kW",44,%,6.6,kWh,2262,AUD,6810,4548,10336,7030,4768,10836,-220,1
98,QLD,single,经济型,0.44,kW,1,0.24444444444444444,1,kW,"原始推导 0.2kW，按规格向上取整，最终采用 1kW",44,%,4.4,kWh,1560,AUD,4730,3170,7204,5347,3787,8606,-617,1
99,QLD,single,高端型,14.96,kW,34,8.311111111111112,9,kW,"原始推导 8.3kW，按规格向上取整，最终采用 9kW",166,%,22.4,kWh,12636,AUD,33010,20374,1362,28477,15841,1059,4533,4
99,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
99,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
100,QLD,single,高端型,20.00,kW,45,12.222222222222221,10,kW,"原始推导 12.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,6
100,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
100,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
101,QLD,single,高端型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,9.9,kWh,5538,AUD,14572,9034,1369,14223,8685,1316,349,3
101,QLD,single,平衡型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,6.6,kWh,4485,AUD,11432,6947,1053,11682,7197,1090,-250,3
101,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
102,QLD,single,高端型,11.44,kW,26,6.355555555555555,7,kW,"原始推导 6.4kW，按规格向上取整，最终采用 7kW",163,%,17.2,kWh,9672,AUD,25279,15607,1364,22475,12803,1119,2804,6
102,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,6
102,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
103,QLD,single,高端型,11.00,kW,25,6.111111111111111,7,kW,"原始推导 6.1kW，按规格向上取整，最终采用 7kW",157,%,16.5,kWh,9321,AUD,24390,15069,1370,21725,12404,1128,2665,6
103,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
103,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
104,QLD,single,高端型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,9.2,kWh,5187,AUD,13683,8496,1379,13385,8198,1331,298,4
104,QLD,single,平衡型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,6.6,kWh,4290,AUD,11131,6841,1111,11320,7030,1141,-189,4
104,QLD,single,经济型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,4.9,kWh,3783,AUD,9580,5797,941,10065,6282,1020,-485,4
105,QLD,single,高端型,14.96,kW,34,8.311111111111112,9,kW,"原始推导 8.3kW，按规格向上取整，最终采用 9kW",166,%,22.4,kWh,12636,AUD,33010,20374,1362,28477,15841,1059,4533,2
105,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,2
105,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
106,QLD,single,高端型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,13.2,kWh,7449,AUD,19327,11878,1350,17974,10525,1196,1353,4
106,QLD,single,平衡型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,8.8,kWh,6006,AUD,15140,9134,1038,14586,8580,975,554,4
106,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
107,QLD,single,高端型,20.00,kW,45,14.911111111111111,10,kW,"原始推导 14.9kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,5
107,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,1
107,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
108,QLD,single,高端型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,9.1,kWh,4212,AUD,11352,7140,2029,11286,7074,2010,66,2
108,QLD,single,平衡型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,6.6,kWh,3354,AUD,8947,5593,1589,9340,5986,1701,-393,2
108,QLD,single,经济型,3.52,kW,8,1.9555555555555555,2,kW,"原始推导 2.0kW，按规格向上取整，最终采用 2kW",176,%,4.4,kWh,2652,AUD,6867,4215,1197,7657,5005,1422,-790,2
109,QLD,single,高端型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,13.9,kWh,7839,AUD,20524,12685,1373,18724,10885,1178,1800,4
109,QLD,single,平衡型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,9.2,kWh,6318,AUD,16128,9810,1062,15167,8849,958,962,4
109,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
110,QLD,single,高端型,20.00,kW,45,102.17777777777776,10,kW,"原始推导 102.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,17
110,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,1
110,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
111,QLD,single,高端型,17.60,kW,40,9.777777777777779,10,kW,"原始推导 9.8kW，按规格向上取整，最终采用 10kW",176,%,26.4,kWh,14898,AUD,38654,23756,1350,32978,18080,1027,5676,6
111,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,5
111,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
112,QLD,single,高端型,20.00,kW,45,12.955555555555556,10,kW,"原始推导 13.0kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,7
112,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,5
112,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
113,QLD,single,高端型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,9.1,kWh,4680,AUD,12445,7765,1604,12276,7596,1570,168,3
113,QLD,single,平衡型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,6.6,kWh,3822,AUD,10039,6217,1285,10330,6508,1345,-291,3
113,QLD,single,经济型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,4.4,kWh,3120,AUD,7959,4839,1000,8647,5527,1142,-687,3
114,QLD,single,高端型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,9.2,kWh,5187,AUD,13683,8496,1379,13385,8198,1331,298,3
114,QLD,single,平衡型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,6.6,kWh,4290,AUD,11131,6841,1111,11320,7030,1141,-189,3
114,QLD,single,经济型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,4.9,kWh,3783,AUD,9580,5797,941,10065,6282,1020,-485,3
115,QLD,single,高端型,13.64,kW,31,7.5777777777777775,8,kW,"原始推导 7.6kW，按规格向上取整，最终采用 8kW",171,%,20.5,kWh,11544,AUD,30034,18490,1356,26226,14682,1076,3808,6
115,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
115,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
116,QLD,single,高端型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,13.9,kWh,7839,AUD,20524,12685,1373,18724,10885,1178,1800,3
116,QLD,single,平衡型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,9.2,kWh,6318,AUD,16128,9810,1062,15167,8849,958,962,3
116,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
117,QLD,single,高端型,20.00,kW,45,23.711111111111112,10,kW,"原始推导 23.7kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,5
117,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,1
117,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
118,QLD,single,高端型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,15.2,kWh,8580,AUD,22303,13723,1356,20225,11645,1151,2078,5
118,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
118,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
120,QLD,single,高端型,16.28,kW,37,9.044444444444444,10,kW,"原始推导 9.0kW，按规格向上取整，最终采用 10kW",163,%,24.4,kWh,13806,AUD,35986,22180,1362,30727,16921,1039,5259,6
120,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,6
120,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
121,QLD,single,高端型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,13.2,kWh,7449,AUD,19327,11878,1350,17974,10525,1196,1353,2
121,QLD,single,平衡型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,8.8,kWh,6006,AUD,15140,9134,1038,14586,8580,975,554,2
121,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
122,QLD,single,高端型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,9.1,kWh,4992,AUD,13275,8283,1448,12936,7944,1389,339,3
122,QLD,single,平衡型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,6.6,kWh,4134,AUD,10870,6736,1178,10990,6856,1199,-120,3
122,QLD,single,经济型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,4.6,kWh,3510,AUD,8984,5474,957,9464,5954,1041,-480,3
123,QLD,single,高端型,17.60,kW,40,9.777777777777779,10,kW,"原始推导 9.8kW，按规格向上取整，最终采用 10kW",176,%,26.4,kWh,14898,AUD,38654,23756,1350,32978,18080,1027,5676,5
123,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
123,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
124,QLD,single,高端型,5.28,kW,12,2.9333333333333336,3,kW,"原始推导 2.9kW，按规格向上取整，最终采用 3kW",176,%,9.1,kWh,4836,AUD,12706,7870,1491,12606,7770,1472,99,3
124,QLD,single,平衡型,5.28,kW,12,2.9333333333333336,3,kW,"原始推导 2.9kW，按规格向上取整，最终采用 3kW",176,%,6.6,kWh,3978,AUD,10301,6323,1197,10660,6682,1266,-359,3
124,QLD,single,经济型,5.28,kW,12,2.9333333333333336,3,kW,"原始推导 2.9kW，按规格向上取整，最终采用 3kW",176,%,4.4,kWh,3276,AUD,8221,4945,936,8977,5701,1080,-756,3
125,QLD,single,高端型,18.04,kW,41,10.022222222222222,10,kW,"原始推导 10.0kW，受单相上限 10kW 限制，最终采用 10kW",180,%,27.1,kWh,15288,AUD,39543,24255,1345,33728,18440,1022,5815,4
125,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
125,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
126,QLD,single,高端型,18.92,kW,43,10.511111111111111,10,kW,"原始推导 10.5kW，受单相上限 10kW 限制，最终采用 10kW",189,%,28.4,kWh,16029,AUD,41322,25293,1337,35229,19200,1015,6093,8
126,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,6
126,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
127,QLD,single,高端型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,11.9,kWh,6669,AUD,17548,10879,1374,16474,9805,1238,1075,4
127,QLD,single,平衡型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,7.9,kWh,5382,AUD,13780,8398,1060,13424,8042,1015,356,4
127,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
128,QLD,single,高端型,0.88,kW,2,0.4888888888888889,1,kW,"原始推导 0.5kW，按规格向上取整，最终采用 1kW",88,%,9.1,kWh,3276,AUD,9476,6200,7046,9306,6030,6853,170,2
128,QLD,single,平衡型,0.88,kW,2,0.4888888888888889,1,kW,"原始推导 0.5kW，按规格向上取整，最终采用 1kW",88,%,6.6,kWh,2418,AUD,7071,4653,5288,7360,4942,5616,-289,2
128,QLD,single,经济型,0.88,kW,2,0.4888888888888889,1,kW,"原始推导 0.5kW，按规格向上取整，最终采用 1kW",88,%,4.4,kWh,1716,AUD,4991,3275,3722,5677,3961,4501,-686,2
129,QLD,single,高端型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,9.2,kWh,5187,AUD,13683,8496,1379,13385,8198,1331,298,4
129,QLD,single,平衡型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,6.6,kWh,4290,AUD,11131,6841,1111,11320,7030,1141,-189,4
129,QLD,single,经济型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,4.9,kWh,3783,AUD,9580,5797,941,10065,6282,1020,-485,4
130,QLD,single,高端型,9.68,kW,22,5.377777777777777,6,kW,"原始推导 5.4kW，按规格向上取整，最终采用 6kW",161,%,14.5,kWh,8190,AUD,21414,13224,1366,19474,11284,1166,1939,5
130,QLD,single,平衡型,9.68,kW,22,5.377777777777777,6,kW,"原始推导 5.4kW，按规格向上取整，最终采用 6kW",161,%,9.7,kWh,6630,AUD,16808,10178,1051,15748,9118,942,1061,5
130,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
131,QLD,single,高端型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,9.1,kWh,3588,AUD,9999,6411,3643,9966,6378,3624,33,2
131,QLD,single,平衡型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,6.6,kWh,2730,AUD,7594,4864,2764,8020,5290,3006,-426,2
131,QLD,single,经济型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,4.4,kWh,2028,AUD,5514,3486,1981,6337,4309,2448,-823,2
132,QLD,single,高端型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,11.9,kWh,6669,AUD,17548,10879,1374,16474,9805,1238,1075,4
132,QLD,single,平衡型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,7.9,kWh,5382,AUD,13780,8398,1060,13424,8042,1015,356,4
132,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
133,QLD,single,高端型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,9.1,kWh,4056,AUD,11091,7035,2284,10956,6900,2240,135,3
133,QLD,single,平衡型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,6.6,kWh,3198,AUD,8686,5488,1782,9010,5812,1887,-324,3
133,QLD,single,经济型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,4.4,kWh,2496,AUD,6606,4110,1334,7327,4831,1568,-721,3
134,QLD,single,高端型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,19.8,kWh,11154,AUD,29145,17991,1363,25476,14322,1085,3668,5
134,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,4
134,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
135,QLD,single,高端型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,13.9,kWh,7839,AUD,20524,12685,1373,18724,10885,1178,1800,4
135,QLD,single,平衡型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,9.2,kWh,6318,AUD,16128,9810,1062,15167,8849,958,962,4
135,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
136,QLD,single,高端型,20.00,kW,45,15.155555555555555,10,kW,"原始推导 15.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,7
136,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
136,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
137,QLD,single,高端型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,13.2,kWh,7449,AUD,19327,11878,1350,17974,10525,1196,1353,5
137,QLD,single,平衡型,8.80,kW,20,4.888888888888889,5,kW,"原始推导 4.9kW，按规格向上取整，最终采用 5kW",176,%,8.8,kWh,6006,AUD,15140,9134,1038,14586,8580,975,554,5
137,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,5
138,QLD,single,高端型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,9.1,kWh,4524,AUD,12183,7659,1741,11946,7422,1687,237,4
138,QLD,single,平衡型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,6.6,kWh,3666,AUD,9778,6112,1389,10000,6334,1440,-222,4
138,QLD,single,经济型,4.40,kW,10,2.4444444444444446,3,kW,"原始推导 2.4kW，按规格向上取整，最终采用 3kW",147,%,4.4,kWh,2964,AUD,7698,4734,1076,8317,5353,1217,-619,4
139,QLD,single,高端型,17.16,kW,39,9.533333333333333,10,kW,"原始推导 9.5kW，按规格向上取整，最终采用 10kW",172,%,25.7,kWh,14547,AUD,37765,23218,1353,32228,17681,1030,5537,4
139,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
