house_id	calc_mode	state	phase	plan	plan_name	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_is_standardized	battery_v4_bSurplus_used	battery_method	tax_total_aud	subsidy_aud	final_price_aud
4017	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4017	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	24182	8619	15563
4017	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	14287	5226	9061
4017	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4018	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	19861	6786	13075
4018	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	9965	3393	6572
4018	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	C: 晚高峰	9965	3393	6572
4019	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	25013	8931	16082
4019	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	15118	5538	9580
4019	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4019	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	22829	8073	14756
4019	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	12933	4680	8253
4019	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	C: 晚高峰	12933	4680	8253
4020	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	14.96	34	9	166	30	28.89	1	0.55	A: max(整夜, 0.8×剩余)	40203	14625	25578
4020	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	13.5	11.17	1	0.55	B: max(晚高峰, 0.55×剩余)	20705	7605	13100
4020	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4020	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	26628	9633	16995
4020	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	13.5	10.41	1	0.55	B: max(晚高峰, 0.55×剩余)	20443	7488	12955
4020	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4021	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20953	7215	13738
4021	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	11057	3822	7235
4021	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	9.6	7.08	1	0.55	C: 晚高峰	11057	3822	7235
4021	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20122	6903	13219
4021	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	10226	3510	6716
4021	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	1.32	3	1	132	9.6	7.08	1	0.55	C: 晚高峰	10226	3510	6716
4022	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	24182	8619	15563
4022	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	14287	5226	9061
4022	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
