项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","5","A","NT","4","1.76","8","22.44","16998.94","19410.60","10008","96.97","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","NSW","4","1.76","5","15.00","11413.78","12975.00","7778","96.38","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","VIC","4","1.76","5","15.00","11413.78","12975.00","6778","96.02","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","QLD","4","1.76","5","15.00","11413.78","12975.00","7270","96.61","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","SA","4","1.76","5","15.00","11413.78","12975.00","7129","96.18","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","WA","4","1.76","5","15.00","11413.78","12975.00","7634","96.54","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","TAS","4","1.76","5","15.00","11413.78","12975.00","10148","96.88","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","ACT","4","1.76","5","15.00","11413.78","12975.00","8632","96.17","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","NT","4","1.76","5","15.00","11413.78","12975.00","10008","96.97","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","C","NSW","4","1.76","1.2","1.72","1937.62","1488.86","7778","96.38","35.5","2.96","37.9","3.16","36.10%"
"新建系统","5","C","VIC","4","1.76","1.2","1.72","1937.62","1488.86","6778","92.09","36.8","3.07","39.8","3.31","34.62%"
"新建系统","5","C","QLD","4","1.76","1.2","1.72","1937.62","1488.86","7270","96.61","35.4","2.95","37.8","3.15","36.18%"
"新建系统","5","C","SA","4","1.76","1.2","1.72","1937.62","1488.86","7129","94.26","36.2","3.01","38.7","3.23","35.37%"
"新建系统","5","C","WA","4","1.76","1.2","1.72","1937.62","1488.86","7634","96.54","35.4","2.95","37.8","3.15","36.15%"
"新建系统","5","C","TAS","4","1.76","1.2","1.72","1937.62","1488.86","10148","96.88","35.3","2.94","37.7","3.14","36.27%"
"新建系统","5","C","ACT","4","1.76","1.2","1.72","1937.62","1488.86","8632","94.66","36.0","3.00","38.6","3.22","35.50%"
"新建系统","5","C","NT","4","1.76","1.2","1.72","1937.62","1488.86","10008","96.97","35.3","2.94","37.7","3.14","36.30%"
"新建系统","6","A","NSW","5","2.20","8","22.44","17118.01","19410.60","7778","95.83","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","VIC","5","2.20","8","22.44","17118.01","19410.60","6778","95.48","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","QLD","5","2.20","8","22.44","17118.01","19410.60","7270","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","SA","5","2.20","8","22.44","17118.01","19410.60","7129","95.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","WA","5","2.20","8","22.44","17118.01","19410.60","7634","96.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","TAS","5","2.20","8","22.44","17118.01","19410.60","10148","96.46","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","ACT","5","2.20","8","22.44","17118.01","19410.60","8632","95.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","NT","5","2.20","8","22.44","17118.01","19410.60","10008","96.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","NSW","5","2.20","5","15.00","11532.85","12975.00","7778","95.83","236.9","19.74","N/A","N/A","0.21%"
"新建系统","6","B","VIC","5","2.20","5","15.00","11532.85","12975.00","6778","95.48","237.4","19.78","N/A","N/A","0.18%"
"新建系统","6","B","QLD","5","2.20","5","15.00","11532.85","12975.00","7270","96.01","236.6","19.72","N/A","N/A","0.23%"
"新建系统","6","B","SA","5","2.20","5","15.00","11532.85","12975.00","7129","95.63","237.2","19.76","N/A","N/A","0.19%"
"新建系统","6","B","WA","5","2.20","5","15.00","11532.85","12975.00","7634","96.00","236.6","19.72","N/A","N/A","0.23%"
"新建系统","6","B","TAS","5","2.20","5","15.00","11532.85","12975.00","10148","96.46","235.9","19.66","N/A","N/A","0.28%"
