年份,月份,天数,发电量(kWh),用电量(kWh),直接自用(kWh),上网(kWh),购电(kWh),自用率(%),购电费用($),馈网收入($),净电费($),无太阳能电费($),月度节省($),累计节省($),回本进度(%)
20,3,31,945.21,730.0,661.65,283.56,68.35,70.0,49.1,14.18,34.92,374.36,339.43,62929.36,370.17
20,4,30,1000.81,730.0,700.57,300.24,29.43,70.0,29.47,15.01,14.46,373.86,359.4,63288.76,372.29
20,5,31,1056.41,730.0,730.0,326.41,0.0,70.0,15.5,16.32,-0.82,374.36,375.18,63663.94,374.49
20,6,30,1056.41,730.0,730.0,326.41,0.0,70.0,15.0,16.32,-1.32,373.86,375.18,64039.12,376.7
20,7,31,1056.41,730.0,730.0,326.41,0.0,70.0,15.5,16.32,-0.82,374.36,375.18,64414.3,378.91
20,8,31,1000.81,730.0,700.57,300.24,29.43,70.0,29.97,15.01,14.96,374.36,359.4,64773.7,381.02
20,9,30,945.21,730.0,661.65,283.56,68.35,70.0,48.6,14.18,34.42,373.86,339.43,65113.13,383.02
20,10,31,889.61,730.0,622.73,266.88,107.27,70.0,68.23,13.34,54.89,374.36,319.47,65432.6,384.9
20,11,30,834.01,730.0,583.81,250.2,146.19,70.0,86.87,12.51,74.36,373.86,299.5,65732.1,386.66
20,12,31,722.81,730.0,505.97,216.84,224.03,70.0,125.63,10.84,114.79,374.36,259.57,65991.67,388.19
